pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,emopic.stopped,redstar.stopped,textEndMessage.started,keyEnd.started,textEndMessage.stopped,keyEnd.stopped,keyEnd.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,21.43777770001907,21.43777770001907,21.43777770001907,2.476851851851852,62.534648600034416,space,143.9104309999384,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
,,,,,,,,,,,,,,,,,,,,,,165.36545809998643,165.36545809998643,space,4.686252900050022,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
pink.png,4,,,,,,0,0,0,0,,,,,175.21571829996537,175.21571829996537,175.21571829996537,2.997685185185185,3.5002534999512136,space,40.612072900054045,,,,,170.08227579994127,170.0823079499416,171.19900489994325,171.19900489994325,175.21571829996537,215.86634419998154,240.85010269994382,240.85008644992485,240.8667685999535,245.85018730000593,,,,,,,,,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
pink.png,2,,,,,,0,1,1,1,,,,,248.91689779993612,248.91689779993612,248.91689779993612,0.9953703703703707,3.700344399898313,space,19.45482759992592,,,,,245.85018730000593,245.85014084998983,246.9001984000206,246.9001984000206,248.91689779993612,268.4005537999328,293.3842463999754,293.38427484994753,293.4009431999875,298.3843118000077,,,,,,,,,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
pink.png,6,,,,,,0,2,2,2,,,,,305.45114070002455,305.45114070002455,305.45114070002455,5.983796296296296,4.000289699994028,space,22.169175300048664,,,,,298.3843118000077,298.3843463500263,299.4343368000118,299.4343368000118,305.45114070002455,327.66813699994236,352.65188150003087,352.6518750499701,352.66850129992235,357.6519149999367,,,,,,,,,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.6519149999367,357.6519149999367,space,7.71267599996645,,,,,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
,,emo_pic\positive_high_8492.jpg,1,0.1384903,0,-0.4,,,,,0,0,0,16,367.53498919995036,367.53498919995036,367.53498919995036,0.46296296296296335,3.9837823000270873,space,16.9661145999562,,,,,365.3854105999926,365.3854175500339,366.4356932999799,,,384.53573979996145,409.51944910001475,409.51944895000196,409.5361087999772,414.5195119000273,,,,,366.4356932999799,366.5187634000322,367.4349937000079,367.53498919995036,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
,,emo_pic\positive_low_7340.jpg,1,0.1384903,0,-0.4,,,,,0,1,1,12,416.68576509994455,416.68576509994455,416.68576509994455,0.46296296296296335,2.5835598000558093,space,12.086404499947093,,,,,414.5195119000273,414.5195212499704,415.53620349999983,,,428.81975579995196,453.803493799991,453.8034876499325,453.8201551999664,458.8035676999716,,,,,415.53620349999983,415.6695565999253,416.53576689993497,416.68576509994455,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
,,emo_pic\pnegative_low_9331.jpg,1,0.1384903,0,-0.4,,,,,0,2,2,4,460.9700980000198,460.9700980000198,460.9700980000198,0.9490740740740742,4.466852799989283,space,12.905689500039443,,,,,458.8035676999716,458.8035689499695,459.8202459999593,,,473.9204454999417,498.90417619992513,498.90422265003434,498.92086479999125,503.90424269996583,,,,,459.8202459999593,459.9535542000085,460.82009970000945,460.9700980000198,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,3,3,13,507.9372179999482,507.9372179999482,507.9372179999482,2.4189814814814814,3.683536499971524,space,11.698567499988712,,,,,503.90424269996583,503.90427794998976,504.92096050002147,,,519.6707089999691,544.6549243000336,544.6549217500026,544.6715876000235,549.655006499961,,,,,504.92096050002147,505.070956200012,507.9372179999482,506.07054009998683,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
,,emo_pic\positive_low_2314.jpg,5,0.1152479,-0.7,0,,,,,0,4,4,14,555.7048859000206,555.7048859000206,555.7048859000206,4.016203703703703,4.883465899969451,space,18.571337400004268,,,,,549.655006499961,549.6550094499719,550.6883623999311,,,574.304941499955,599.2891382999951,599.289132849942,599.3058051000116,604.2892222999362,,,,,550.6883623999311,550.7716608999763,555.7048859000206,551.7712501999922,,,,,,002,001,2023-05-31_11h02.16.629,time_exp,2022.2.5,60.00960155347109,
