emo_pic,duration,starduration,posx,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textrest.started,textready.started,textrest.stopped,textready.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.104402299999492,9.104402299999492,space,0.980322299990803,,,,,,,,,,,,,,,,,,,000,001,2023-05-02_16h29.32.461,time_exp,2022.2.5,60.19244729334437,
C:\Users\user\Desktop\time_exp\emo_pic\S__42811412.jpg,7,0.0561269,0.7,0,0,0,0,3,,,,,10.10449769999832,10.104467140010092,11.105713199998718,11.105713199998718,11.156823299999814,12.156248100014636,18.136755400017137,18.136755400017137,18.136755400017137,18.136755400017137,None,None,space,1.2358316000027116,19.40346440000576,74.39779770001769,74.41471539999475,79.39716990001034,000,001,2023-05-02_16h29.32.461,time_exp,2022.2.5,60.19244729334437,
,,,,,,,,,,,,,79.39716990001034,79.3969947399979,80.46206029999303,80.46206029999303,80.54536730001564,81.54513859999133,83.47844609999447,83.47844609999447,83.47844609999447,83.47844609999447,,,,,,,,,,,,,,,
