emo_pic,duration,posx,starduration,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textrest.started,textready.started,textrest.stopped,textready.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.634338699979708,9.634338699979708,space,0.6712933999951929,,,,,,,,,,,,,,,,,,,,,000,001,2023-05-02_16h21.27.950,time_exp,2022.2.5,60.120686257194066,
C:\Users\user\Desktop\time_exp\emo_pic\FBgs1RAVEAAo9TV.jpg,3,0,0.1552196,0.4,0,0,0,1,,,,,10.334414099983405,10.334572940002545,11.417512099986197,11.417512099986197,11.484379599976819,12.484165399975609,14.450751099997433,14.450751099997433,14.450751099997433,14.450751099997433,None,None,space,0.7210570000170264,15.234464499983005,16.21686679997947,16.233740999974543,17.217037499998696,,,000,001,2023-05-02_16h21.27.950,time_exp,2022.2.5,60.120686257194066,
C:\Users\user\Desktop\time_exp\emo_pic\S__42811412.jpg,7,0.4,0.0561269,0,0,1,1,3,,,,,17.217037499998696,17.216819740002393,18.266630899976008,18.266630899976008,18.283328899997286,19.28308090000064,25.282261699991068,25.282261699991068,25.282261699991068,25.282261699991068,None,None,space,0.5679294999863487,25.915898899984313,26.91537829997833,26.91537829997833,27.915236999979243,,,000,001,2023-05-02_16h21.27.950,time_exp,2022.2.5,60.120686257194066,
C:\Users\user\Desktop\time_exp\emo_pic\rdt-20210516-0143118280534424875981353.jpg,5,-0.4,0.1152479,0,0,2,2,2,,,,,27.915236999979243,27.915343639979255,28.965056099987123,28.965056099987123,29.031980799976736,30.031625799980247,33.9812677000009,33.9812677000009,33.9812677000009,33.9812677000009,None,None,space,0.7553519000066444,34.79833890000009,35.78102819999913,35.79772819997743,36.78099599998677,,,000,001,2023-05-02_16h21.27.950,time_exp,2022.2.5,60.120686257194066,
C:\Users\user\Desktop\time_exp\emo_pic\EBPgLdJe_400x400.png,1,0,0.1384903,-0.4,0,3,3,0,,,,,36.78099599998677,36.78085043998726,37.81398349997471,37.81398349997471,37.91394629998831,38.93079990000115,38.814052099973196,38.93079990000115,38.93079990000115,38.93079990000115,None,None,space,1.6016811000008602,40.54911949997768,41.546883699978935,41.563406399975065,42.54665819997899,,,000,001,2023-05-02_16h21.27.950,time_exp,2022.2.5,60.120686257194066,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.54665819997899,42.54665819997899,,,,,,,
