emo_pic,duration,posx,starduration,posy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textrest.started,textready.started,textrest.stopped,textready.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,8.746062299993355,8.746062299993355,space,0.9036283000023104,,,,,,,,,,,,,,,,,,,000,001,2023-05-02_16h26.02.085,time_exp,2022.2.5,60.44458199362356,
C:\Users\user\Desktop\time_exp\emo_pic\FBgs1RAVEAAo9TV.jpg,3,0,0.1552196,0.4,0,0,0,1,,,,,9.679192199982936,9.679099890004727,10.750072499999078,10.750072499999078,10.83189939998556,11.831474100006744,13.795813599979738,13.795813599979738,13.795813599979738,13.795813599979738,None,None,space,1.109728700015694,14.962529899989022,15.944904400006635,15.961639899993315,16.94470709998859,000,001,2023-05-02_16h26.02.085,time_exp,2022.2.5,60.44458199362356,
C:\Users\user\Desktop\time_exp\emo_pic\EBPgLdJe_400x400.png,1,0,0.1384903,-0.4,0,1,1,0,,,,,16.94470709998859,16.944883289988503,17.99491599999601,17.99491599999601,18.078079600003548,19.094591700006276,18.994765799987363,19.094591700006276,19.094591700006276,19.094591700006276,None,None,space,0.5754964000079781,19.728224699996645,20.710969799984014,20.727724399999715,21.710788900003536,000,001,2023-05-02_16h26.02.085,time_exp,2022.2.5,60.44458199362356,
,,,,,,,,,,,,,21.710788900003536,21.711042889984675,22.72754759999225,22.72754759999225,22.760677599988412,23.760515200003283,,,,,,,,,,,,,,,,,,,
