pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,image.started,image.stopped,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,textblank1000.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,textEndMessage.stopped,keyEnd.stopped,keyEnd.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,153.05391180000152,153.05391180000152,space,139.86260049999873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
pink.png,6,,,,,,0,0,0,2,,,,,,,,,292.9432288000007,292.9497877600006,294.0684127000004,300.16326520000075,300.16326520000075,300.16326520000075,300.16326520000075,3.0439814814814827,9.448477300000377,space,11.580014399998618,311.77837570000156,326.7536826000014,326.7538359800001,326.7870332000002,331.75938380000116,,,,,,,,,,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
pink.png,2,,,,,,0,1,1,1,,,,,,,,,331.75938380000116,331.7592438800002,332.7987103000014,334.8454793000001,334.8454793000001,334.8454793000001,334.8454793000001,0.9490740740740742,4.420941300000777,space,6.38300629999685,341.2810960000006,356.2693718999999,356.26941988,356.2861015000017,,332.7987103000014,,,,,,,,,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
pink.png,4,,,,,,0,2,2,0,,,,,,,,,361.274952400001,361.2747183800002,362.3083449000005,366.3460604000011,366.3460604000011,366.3460604000011,366.3460604000011,4.004629629629629,3.795691799999986,space,4.895616199997676,371.2851448000001,386.26948730000004,386.2691990800013,386.2858888999999,391.2750356000015,,,,,,,,,,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.2750356000015,391.2750356000015,space,47.692603399998916,,,,,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pnegative_high_1120.jpg,7,0.0561269,0.7,0,,,,,0,0,0,11,,,,,439.0051446000016,439.0103099600001,,,447.1129842999999,447.1129842999999,447.1129842999999,3.4953703703703702,14.940944899999522,space,28.36894519999987,475.5319003000004,490.517046500001,490.51707648000047,490.533849200001,495.52283480000006,,,,,,440.0668727000011,440.0668727000011,441.0806786000012,447.1129842999999,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\positive_low_2314.jpg,5,0.1152479,-0.7,0,,,,,0,1,1,14,,,,,495.52283480000006,495.52292468000087,,,501.64399030000095,501.64399030000095,501.64399030000095,4.456018518518518,3.6777596000010817,space,15.02634129999933,516.7211224000002,531.7290398000005,531.7291754800008,531.7290398000005,,496.6108376000011,,,,,496.6108376000011,496.6151071000004,497.6260430000002,501.64399030000095,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pnegative_low_6010.jpg,3,0.1552196,0,0.4,,,,,0,2,2,5,,,,,536.7345971000013,536.7350396800011,,,540.8238495000005,540.8238495000005,540.8238495000005,1.9791666666666663,4.32902809999905,space,17.325877199999013,558.2137134000004,573.1748316000012,573.1750822800004,573.2246585000012,578.1802391000001,,,,,,537.7909670000008,537.8864473000012,538.8877696,540.8238495000005,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\positive_high_8492.jpg,1,0.1384903,0,-0.4,,,,,0,3,3,16,,,,,578.1802391000001,578.1802512800004,,,580.348275100001,580.348275100001,580.348275100001,0.5439814814814814,4.071696700000757,space,14.514716099998623,594.9190451000013,609.898380300001,609.8985079800004,609.9322038000009,614.9040312000016,579.2725462000017,,,,,579.2725462000017,579.3160745000005,580.348275100001,580.2825396000007,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\pnegative_low_9331.jpg,1,0.1384903,0,-0.4,,,,,0,4,4,4,,,,,614.9040312000016,614.9039138800017,,,617.0722730000016,617.0722730000016,617.0722730000016,0.2430555555555558,4.8829574000010325,space,21.55598579999787,638.6614049,653.6464543000002,653.6464901800009,653.6631193000012,658.6519845000003,615.9573556000014,,,,,615.9573556000014,616.0395764000004,617.0722730000016,616.9562697000001,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,5,5,13,,,,,658.6519845000003,658.6519503800009,,,662.7546610000009,662.7546610000009,662.7546610000009,1.0069444444444446,4.689186300000074,space,13.854151999998066,676.6531823000005,691.6383236000001,691.6383294800016,691.6550522000016,696.6438749000008,659.7217604000016,,,,,659.7217604000016,659.8040881000015,660.8051939000015,662.7546610000009,,,,,,000,001,2023-05-30_13h24.34.812,time_exp,2022.2.5,60.084418608088335,
