pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,12.356725400080904,12.356725400080904,12.356725400080904,None,None,space,17.586236899951473,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
,,,,,,,,,,,,,,,,,,,,,,29.977170400088653,29.977170400088653,space,1.8379984999774024,,,,,,,,,,,,,,,,,,,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
pink.png,2,,,,,,0,0,0,1,,,,,34.97725170000922,34.97725170000922,34.97725170000922,3.0324074074074074,2.9840916000539437,space,14.438218499999493,,,,,31.843903000000864,31.84386071001645,32.960596800083295,32.960596800083295,34.97725170000922,49.44419260008726,74.42793520004489,74.42793131000363,74.44459860003553,79.42802210000809,,,,,,,,,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
pink.png,6,,,,,,0,1,1,2,,,,,86.47813160007354,86.47813160007354,86.47813160007354,7.002314814814815,3.1669235000154004,space,19.304739400045946,,,,,79.42802210000809,79.42801921009087,80.46137090004049,80.46137090004049,86.47813160007354,105.82844030007254,130.8121927001048,130.81219701000956,130.82886220002547,135.81227890006267,,,,,,,,,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
pink.png,4,,,,,,0,2,2,0,,,,,140.86235290009063,140.86235290009063,140.86235290009063,4.004629629629629,3.00025739998091,space,13.802326899953187,,,,,135.81227890006267,135.81228841000703,136.8456258000806,136.8456258000806,140.86235290009063,154.71253910008818,179.6962923000101,179.6962800100213,179.71298450010363,184.6963648000965,,,,,,,,,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.6963648000965,184.6963648000965,space,34.38336810003966,,,,,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
,,emo_pic\pnegative_low_2100.jpg,7,0.0561269,0.7,0,,,,,0,0,0,7,227.14689610002097,227.14689610002097,227.14689610002097,6.979166666666667,12.067223299993202,space,20.71719909994863,,,,,219.09693020000122,219.0969736100873,220.1306087000994,,,247.89742530009244,272.89781640004367,272.8978132100077,272.89781640004367,277.897911200067,,,,,220.1306087000994,220.14694690005854,221.1469576000236,227.14689610002097,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
,,emo_pic\pneutral_7233.jpg,5,0.1152479,-0.7,0,,,,,0,1,1,2,283.9310381000396,283.9310381000396,283.9310381000396,5.023148148148148,4.10048389993608,space,14.445359700010158,,,,,277.897911200067,277.89790291010866,278.9145882000448,,,298.4148995000869,323.3986356999958,323.3986132100457,323.41529860009905,328.39868630003184,,,,,278.9145882000448,278.99792330001947,279.9974829000421,283.9310381000396,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
,,emo_pic\positive_high_8370.jpg,7,0.0561269,0.7,0,,,,,0,2,2,19,336.4318551000906,336.4318551000906,336.4318551000906,5.99537037037037,6.500585199915804,space,14.887593499966897,,,,,328.39868630003184,328.39871921003794,329.4154051000951,,,351.34908459999133,376.3328032999998,376.3328116100514,376.3494844000088,381.3328680000268,,,,,329.4154051000951,329.4654014999978,330.4649628000334,336.4318551000906,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,3,3,13,385.3658321000403,385.3658321000403,385.3658321000403,2.5231481481481484,11.234432600089349,space,57.52221010008361,,,,,381.3328680000268,381.3328905100701,382.3495838000672,,,442.91719740000553,467.90091130009387,467.90090771005487,467.9175812000176,472.9009779000189,,,,,382.3495838000672,382.4995406999951,383.4991395000834,385.3658321000403,,,008,001,2023-06-01_16h11.32.527,time_exp,2022.2.5,60.0137071372718,
