pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,21.399560799938627,21.399560799938627,21.399560799938627,3.0439814814814827,69.39372829999775,space,162.230550999986,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,,,,,,,,,,,,,,,,,,,,,183.6551762999734,183.6551762999734,space,8.039061999996193,,,,,,,,,,,,,,,,,,,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
pink.png,6,,,,,,0,0,0,2,,,,,198.85543530003633,198.85543530003633,198.85543530003633,4.953703703703704,2.9668111000210047,space,6.438382099964656,,,,,191.72197589999996,191.72196896004024,192.83862209995277,192.83862209995277,198.85543530003633,205.33882970002014,230.32262240001,230.32261765995062,230.33924819994718,235.32269519998226,,,,,,,,,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
pink.png,2,,,,,,0,1,1,1,,,,,238.3727474999614,238.3727474999614,238.3727474999614,1.967592592592593,2.800160999991931,space,4.729227299918421,,,,,235.32269519998226,235.32270306001882,236.35605129995383,236.35605129995383,238.3727474999614,243.12283270002808,268.10657309996895,268.1065404600464,268.12324390001595,273.1066602000501,,,,,,,,,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
pink.png,4,,,,,,0,2,2,0,,,,,278.1734112999402,278.1734112999402,278.1734112999402,3.0092592592592595,2.966990699991584,space,11.601204499951564,,,,,273.1066602000501,273.1066635600524,274.15667990001384,274.15667990001384,278.1734112999402,289.82359249994624,314.8073432999663,314.8073485599831,314.82396509998944,319.8074240999995,,,,,,,,,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.8074240999995,319.8074240999995,space,31.502011400065385,,,,,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pnegative_high_1201.jpg,5,0.1152479,-0.7,0,,,,,0,0,0,10,357.40771689999383,357.40771689999383,357.40771689999383,4.976851851851851,5.133891399949789,space,14.542158300057054,,,,,351.3412728999974,351.3412721599685,352.3915548999794,,,371.9915785000194,396.9753471999429,396.9752908599563,396.9919772000285,401.97542469995096,,,,,352.3915548999794,352.44128889997955,353.4408534000395,357.40771689999383,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pneutral_7100.jpg,3,0.1552196,0,0.4,,,,,0,1,1,1,406.00838360004127,406.00838360004127,406.00838360004127,2.013888888888889,5.000381499994546,space,23.845427399966866,,,,,401.97542469995096,401.97543175998146,402.9921163000399,,,429.8926254999824,454.87630150001496,454.87626745996533,454.89296319999266,459.87637860001996,,,,,402.9921163000399,403.1421198999742,404.1416855000425,406.00838360004127,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pneutral_5500.jpg,1,0.1384903,0,-0.4,,,,,0,2,2,0,462.0426346999593,462.0426346999593,462.0426346999593,0.9490740740740742,6.267404200043529,space,20.307416799943894,,,,,459.87637860001996,459.8763518600259,460.8930341999512,,,482.3934357999824,507.37716379994527,507.3771635600366,507.3937952000415,512.3772442999762,,,,,460.8930341999512,461.02640209998935,462.0426346999593,461.89263340004254,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pnegative_low_2100.jpg,7,0.0561269,0.7,0,,,,,0,3,3,7,520.4105535999406,520.4105535999406,520.4105535999406,7.048611111111112,5.33376369997859,space,17.82737559999805,,,,,512.3772442999762,512.3772472599754,513.3939285000088,,,538.2609701999463,563.2447482999414,563.244748360035,563.2614110000432,568.2448296999792,,,,,513.3939285000088,513.4439315999625,514.4439460999565,520.4105535999406,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\positive_low_2156.jpg,7,0.0561269,0.7,0,,,,,0,4,4,15,576.2778510999633,576.2778510999633,576.2778510999633,7.615740740740741,8.367084199911915,space,9.384658899973147,,,,,568.2448296999792,568.2448263600469,569.2615169000346,,,585.6946851999965,610.6784095000476,610.6784145599464,610.6950756999431,615.6785339999478,,,,,569.2615169000346,569.3115104000317,570.3110751999775,576.2778510999633,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pnegative_high_1120.jpg,7,0.0561269,0.7,0,,,,,0,5,5,11,623.6954239000333,623.6954239000333,623.6954239000333,2.986111111111111,5.900377899990417,space,19.56665030005388,,,,,615.6785339999478,615.6784951599781,616.6785534999799,,,643.2790799000068,668.2628611000255,668.2628380599432,668.2795097000198,673.2632133000297,,,,,616.6785534999799,616.7451787999598,617.7451960999751,623.6954239000333,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\positive_high_8300.jpg,3,0.1552196,0,0.4,,,,,0,6,6,17,677.296193899936,677.296193899936,677.296193899936,2.9398148148148144,1.8836441999301314,space,12.701427099993452,,,,,673.2632133000297,673.2632559599821,674.2799028999871,,,690.0297110000392,715.0134939999552,715.0134959599469,715.0301542000379,720.013717600028,,,,,674.2799028999871,674.4299091999419,675.429506000015,677.296193899936,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pnegative_low_6010.jpg,3,0.1552196,0,0.4,,,,,0,7,7,5,724.0469803999877,724.0469803999877,724.0469803999877,1.458333333333333,3.300248100073077,space,18.62380020006094,,,,,720.013717600028,720.0137122599641,721.0307234999491,,,742.6972752000438,767.6812001999933,767.6812059600139,767.6978696000297,772.6815976999933,,,,,721.0307234999491,721.1807162000332,722.1802836999996,724.0469803999877,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pnegative_high_1300.jpg,3,0.1552196,0,0.4,,,,,0,8,8,9,776.7145543999504,776.7145543999504,776.7145543999504,2.048611111111111,2.9667972000315785,space,11.44357649993617,,,,,772.6815976999933,772.6815968599636,773.6982517000288,,,788.1814047000371,813.165176599985,813.1651830600109,813.1818522999529,818.165412100032,,,,,773.6982517000288,773.8482490000315,774.8478487000102,776.7145543999504,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pneutral_7233.jpg,5,0.1152479,-0.7,0,,,,,0,9,9,2,824.1986544999527,824.1986544999527,824.1986544999527,1.4120370370370368,10.867085800040513,space,12.05552329996135,,,,,818.165412100032,818.1653961600038,819.1820895000128,,,836.2822766000172,861.2660311999498,861.2660335599445,861.2826936000492,866.2662369000027,,,,,819.1820895000128,819.2820900999941,820.2819715000223,824.1986544999527,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,10,10,13,870.2995023999829,870.2995023999829,870.2995023999829,1.0763888888888886,16.317186899948865,space,17.218907699920237,,,,,866.2662369000027,866.2662455600454,867.2829297999851,,,887.5498348999536,912.5335969999433,912.5335910599912,912.550260799937,917.5341379999882,,,,,867.2829297999851,867.4329266999848,868.432817999972,870.2995023999829,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\pnegative_low_2520.jpg,5,0.1152479,-0.7,0,,,,,0,11,11,6,923.5671435999684,923.5671435999684,923.5671435999684,3.9699074074074074,3.4502028001006693,space,14.527344499947503,,,,,917.5341379999882,917.534151859954,918.5508211000124,,,938.1173839999828,963.1012790999375,963.1012867599726,963.1179617999587,968.1017024000175,,,,,918.5508211000124,918.6508246000158,919.6503882999532,923.5671435999684,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\positive_low_7340.jpg,1,0.1384903,0,-0.4,,,,,0,12,12,12,970.2679582999554,970.2679582999554,970.2679582999554,0.428240740740741,6.350347999949008,space,18.257985499920323,,,,,968.1017024000175,968.1017014599871,969.118388599949,,,988.5516116999788,1013.5355157000013,1013.5355058600195,1013.5521838000277,1018.5359527999535,,,,,969.118388599949,969.2517204999458,970.2679582999554,970.1179490999784,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
,,emo_pic\positive_high_8370.jpg,7,0.0561269,0.7,0,,,,,0,13,13,19,1026.5689567000372,1026.5689567000372,1026.5689567000372,4.444444444444445,11.517087100073695,space,12.213339600013569,,,,,1018.5359527999535,1018.5358725600178,1019.5526106000179,,,1038.802496499964,1063.7864000999834,1063.7863902600016,1063.8030709000304,1068.7868304000003,,,,,1019.5526106000179,1019.6026121999603,1020.602170899976,1026.5689567000372,,,003,001,2023-05-31_10h06.44.940,time_exp,2022.2.5,60.02148771647198,
