pink,pra_duration,emo_pic,duration,starduration,posx,posy,pra_trials.thisRepN,pra_trials.thisTrialN,pra_trials.thisN,pra_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textreproductionstart.started,scale.started,key_next.started,scale.response,scale.rt,key_next.keys,key_next.rt,textWelcomeMessage.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,textblank1000.started,sound_1.started,textblank1000.stopped,image.started,image.stopped,textrest.started,textready.started,sound_2.started,textrest.stopped,textready.stopped,start_2.started,start_3.started,start_3.keys,start_3.rt,emopic.started,redstar.started,redstar.stopped,emopic.stopped,textEndMessage.started,keyEnd.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,34.73518249997869,34.73518249997869,34.73518249997869,2.476851851851852,105.91507269989233,space,179.7118737999117,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,,,,,,,,,,,,,,,,,,,,,214.47813029994722,214.47813029994722,space,5.600156300002709,,,,,,,,,,,,,,,,,,,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
pink.png,2,,,,,,0,0,0,1,,,,,223.21165099996142,223.21165099996142,223.21165099996142,1.7592592592592595,2.9002538999775425,space,32.51543210004456,,,,,220.0949017999228,220.0949185899226,221.19495509995613,221.19495509995613,223.21165099996142,255.76213569997344,280.7458931999281,280.7458915899042,280.7625628999667,285.74597619997803,,,,,,,,,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
pink.png,6,,,,,,0,1,1,2,,,,,292.7960842999164,292.7960842999164,292.7960842999164,4.8842592592592595,3.300184900057502,space,12.116145199979655,,,,,285.74597619997803,285.7459717899328,286.7793296999298,286.7793296999298,292.7960842999164,304.9462782999035,329.9300089000026,329.92999128997326,329.9466777999187,334.93009589996655,,,,,,,,,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
pink.png,4,,,,,,0,2,2,0,,,,,339.98017599992454,339.98017599992454,339.98017599992454,2.986111111111111,3.266757099889219,space,11.715372700011358,,,,,334.93009589996655,334.93008858989924,335.96343869995326,335.96343869995326,339.98017599992454,351.7303731999127,376.714044699911,376.71403608995024,376.7307115999283,381.71416499989573,,,,,,,,,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.71416499989573,381.71416499989573,space,20.268818499986082,,,,,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\pnegative_high_1201.jpg,5,0.1152479,-0.7,0,,,,,0,0,0,10,408.08091749995947,408.08091749995947,408.08091749995947,2.9398148148148144,2.8670268000569195,space,15.869922299985774,,,,,402.01449039997533,402.0144934899872,403.0647855999414,,,423.99813449999783,448.98188999993727,448.98188588989433,448.99852299992926,453.98197289998643,,,,,403.0647855999414,403.114506599959,404.1140625999542,408.08091749995947,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\pnegative_low_2520.jpg,5,0.1152479,-0.7,0,,,,,0,1,1,6,460.01495529990643,460.01495529990643,460.01495529990643,2.986111111111111,2.833674499997869,space,17.20024779997766,,,,,453.98197289998643,453.9819800899131,454.99862759991083,,,477.2323397999862,502.2160702999681,502.2160658899229,502.23273269995116,507.21614829998,,,,,454.99862759991083,455.09862989990506,456.09821419999935,460.01495529990643,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\positive_low_2314.jpg,5,0.1152479,-0.7,0,,,,,0,2,2,14,513.2659221999347,513.2659221999347,513.2659221999347,2.199074074074074,3.6338445000583306,space,16.205388100002892,,,,,507.21614829998,507.2161620899569,508.2495065999683,,,529.5165178999305,554.5002573999809,554.5002170898952,554.5169152999297,559.5003284999402,,,,,508.2495065999683,508.33283729990944,509.33239749993663,513.2659221999347,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\positive_high_8300.jpg,3,0.1552196,0,0.4,,,,,0,3,3,17,563.550065999967,563.550065999967,563.550065999967,1.550925925925926,2.833671599975787,space,14.880688400007784,,,,,559.5003284999402,559.5002970899222,560.5336950999917,,,578.4672983000055,603.4509943999583,603.4509974899702,603.4676654998912,608.4511118999217,,,,,560.5336950999917,560.6670164999086,561.6665689999936,563.550065999967,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\pnegative_low_2100.jpg,7,0.0561269,0.7,0,,,,,0,4,4,7,616.4844328999752,616.4844328999752,616.4844328999752,4.953703703703704,2.700420400011353,space,14.074384200037457,,,,,608.4511118999217,608.4511032899609,609.4677965999581,,,630.6014359999681,655.5852024999913,655.5851676899474,655.6018657999812,660.5852855999256,,,,,609.4677965999581,609.5177923999727,610.5178113000002,616.4844328999752,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\positive_high_8370.jpg,7,0.0561269,0.7,0,,,,,0,5,5,19,668.6184211999644,668.6184211999644,668.6184211999644,3.483796296296296,2.5003697000211105,space,16.996830100077204,,,,,660.5852855999256,660.5852505899966,661.6019646999193,,,685.6356964999577,710.619436699897,710.6194293899462,710.6360962999752,715.6195002999157,,,,,661.6019646999193,661.6519659999758,662.6515418000054,668.6184211999644,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\pneutral_7100.jpg,3,0.1552196,0,0.4,,,,,0,6,6,1,719.6525705999229,719.6525705999229,719.6525705999229,0.7986111111111114,3.5005224000196904,space,13.306852199952118,,,,,715.6195002999157,715.6194983900059,716.6361534999451,,,733.0031149999704,757.9868424999295,757.9868482899619,758.0035165000008,762.9869261999847,,,,,716.6361534999451,716.7861875999952,717.7857507999288,719.6525705999229,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\positive_low_7340.jpg,1,0.1384903,0,-0.4,,,,,0,7,7,12,765.1531890999759,765.1531890999759,765.1531890999759,0.41666666666666685,2.816884799976833,space,15.74203339999076,,,,,762.9869261999847,762.9869245899608,764.0036022999557,,,780.9372071999824,805.9209347999422,805.9209355899366,805.9375722999685,810.9209947999334,,,,,764.0036022999557,764.1369079999859,765.1531890999759,765.0031725999434,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\positive_high_5621.jpg,5,0.1152479,-0.7,0,,,,,0,8,8,18,816.9539981998969,816.9539981998969,816.9539981998969,3.900462962962963,2.3835888999747112,space,8.052694899961352,,,,,810.9209947999334,810.9210536899045,811.9377056999365,,,825.0374480999308,850.0216322999913,850.0216282899491,850.0382979999995,855.021669199923,,,,,811.9377056999365,812.0377309999894,813.0372634999221,816.9539981998969,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\pneutral_7233.jpg,5,0.1152479,-0.7,0,,,,,0,9,9,2,861.0546911999118,861.0546911999118,861.0546911999118,3.240740740740741,2.316840899991803,space,4.1296001999871805,,,,,855.021669199923,855.0216736899456,856.0383852999657,,,865.2047415999696,890.188909899909,890.1889417899074,890.2056040999014,895.1889888999285,,,,,856.0383852999657,856.1383647999028,857.1379666998982,861.0546911999118,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\positive_low_7325.jpg,3,0.1552196,0,0.4,,,,,0,10,10,13,899.2219536999473,899.2219536999473,899.2219536999473,0.9837962962962965,3.9834309000289068,space,12.9064407000551,,,,,895.1889888999285,895.1890123899793,896.2057073999895,,,912.1554612999316,937.1396865999559,937.1396892899647,937.1563406999921,942.1397629999556,,,,,896.2057073999895,896.3557077998994,897.3552628000034,899.2219536999473,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\pnegative_low_9331.jpg,1,0.1384903,0,-0.4,,,,,0,11,11,4,944.3063066999894,944.3063066999894,944.3063066999894,0.4398148148148151,2.500234599923715,space,5.436657999991439,,,,,942.1397629999556,942.1397581899073,943.1564492000034,,,949.7897375999019,974.7734610999469,974.7734695899999,974.7901334998896,979.7735448000021,,,,,943.1564492000034,943.2897827998968,944.3063066999894,944.1563028999371,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\pnegative_high_1300.jpg,3,0.1552196,0,0.4,,,,,0,12,12,9,983.8066475999076,983.8066475999076,983.8066475999076,0.9837962962962965,3.933572900015861,space,35.216091400012374,,,,,979.7735448000021,979.7735413899645,980.7902347999625,,,1019.0576770999469,1044.0413845999865,1044.0413871899946,1044.0580584999407,1049.0414693999337,,,,,980.7902347999625,980.9399332999019,981.9399332999019,983.8066475999076,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
,,emo_pic\pneutral_5500.jpg,1,0.1384903,0,-0.4,,,,,0,13,13,0,1051.2077290999005,1051.2077290999005,1051.2077290999005,0.7175925925925924,2.333642299985513,space,12.183666599914432,,,,,1049.0414693999337,1049.0414931899868,1050.0581547999755,,,1063.4250245000003,1088.4087190999417,1088.408750589937,1088.4254217999987,1093.408801099984,,,,,1050.0581547999755,1050.1914836999495,1051.2077290999005,1051.0577228999464,,,005,001,2023-06-01_13h14.52.624,time_exp,2022.2.5,60.013310955915614,
